Colombia;Afganistan;449
Canada;Albania;645
Argentina;Alemania;553
Mexico;Andorra;869
Colombia;Angola;857
Canada;Antigua y Barbuda;548
Argentina;Arabia Saudita ;919
Mexico;Argelia;850
Colombia;Argentina;548
Mexico;Armenia;707
Colombia;Australia;587
Canada;Austria;530
Argentina;Azerbaiyan;468
Mexico;Cabo Verde;788
Argentina;Camboya;652
Mexico;Camerun;823
Argentina;Canada;520
Mexico;Catar;430
Colombia;Chad;817
Mexico;Chile;433
Colombia;China;764
Mexico;Chipre;890
Canada;Colombia;974
Argentina;Comoras;829
Mexico;Republica del Congo;534
Colombia;Corea del Norte;540
Canada;Corea del Sur;684
Argentina;Costa de Marfil;435
Mexico;Costa Rica;848
Colombia;Croacia;819
Canada;Cuba;756
Argentina;Tailandia;698
Mexico;Tanzania;645
Colombia;Togo;452
Canada;Tonga;430
Argentina;Trinidad y Tobago;467
Mexico;Tunez;970
Colombia;Turquia;456
Canada;Tuvalu;731
Argentina;Madagascar;699
Mexico;Marruecos;771
Colombia;Mauricio;527
Canada;Mauritania;414
Argentina;Mexico;609
Colombia;Micronesia;664
Mexico;Moldavia;841
Colombia;Monaco;785
Canada;Mongolia;921
Argentina;Montenegro;504
Mexico;Mozambique;780
